Author,Comment,LikeCount,PublishedAt
@foodiemama2210,"Hi guys!<br>Thank you for watching my video<br><br>Price : THB 10 / USD 0.3<br>Location : Rachadamnoen Rd, Tambon Si Phum, Mueang Chiang Mai District, Chiang Mai 50200, Sunday Night Market. <br>google map : <a href=""https://goo.gl/maps/Xkpf1Sabgmj3nJdTA"">https://goo.gl/maps/Xkpf1Sabgmj3nJdTA</a>",967,2023-03-08T10:05:52Z
@이름이-y8w,배경음처럼 주변에서 들리는 언어가 넘 귀여움 애기애기앵앵 거림,1306,2023-07-07T10:01:49Z
@byebye4449,이야...집에서 만든 맛이겠는걸?,2007,2023-06-24T14:53:36Z
@sd68127,저 리듬타는 퍼포먼스가 되게 좋네요 마케팅으로는ㅋㅋ,54,2023-07-25T15:36:38Z
@와아앙-k8n,저 정도면 위생도 괜찮고 더운날 하나씩 사먹기 좋을듯!,431,2023-07-08T15:15:39Z
@stysty9,It seems everyone likes soft drink very much and feels amazing of it.,21,2023-08-06T20:33:15Z
@MalaTuru,It looks delicious✨<br><br>In Indonesia we call it &#39;Es goyang&#39; It means Ice shake,557,2023-07-01T13:05:30Z
@Heyy_starmlinkv1995,It&#39;s like Indian kulfi😂😂❤,54,2024-09-09T17:11:38Z
@fukrainsaaan0000,Second copy of  indian kulfi 😂😂,250,2023-05-12T12:00:03Z
@Harumanhme,ɛte sɛ nea ɛyɛ dɛ yiye  🤤,1,2024-08-05T10:35:38Z
@maktinichanel9748,So cute ...make me remember that time ❤,137,2023-05-25T04:54:09Z
@ElviraSongalla,Soda became a popsicle so unique way,281,2023-03-09T06:51:47Z
@eccentric_late_spring,저 악기 음악소리가 너무 저 나라 분위기 잘 표현하는 거 같아서 좋다,59,2023-07-31T15:37:21Z
@BTSArmy-n2p,look like Indian kulfi❤🇮🇳🎉,2,2024-10-11T16:13:05Z
@DML3383,"Okay, but those beats are fire🔥🔥🔥🔥",10,2023-07-08T19:38:26Z
@Katelyn_Emily,"I had that in middle school, it&#39;s so delicious😋😋",0,2024-09-11T07:49:08Z
@kasalongsongsara2518,คิดถึงไอติมแบบนี้จังเลย เพราะเคยกินตอนเป็นเด็กนักเรียน เขาเอามาขายข้าง ข้างโรงเรียนทุกวันเลย แต่ตอนนี้โรงเรียนนั้นไม่มีแล้ว เพราะมันยุบไปแล้ว,11,2023-07-02T14:33:52Z
@ummarabaahammedbeary4996,Masha Allah Allah Atik Afiya,14,2023-03-09T18:53:43Z
@Muhammadqamar9186,IT&#39;S AMAZING WAOW BEAUTIFUL 👌💯😋👍,0,2023-07-14T21:44:11Z
@greenfrog9470,this bring back memories 🤤🤍,10,2023-03-16T18:24:57Z
@barbaraandklee6760,Welcome to my country 😌,1,2024-09-08T07:22:18Z
@たまねぎ-q9p,美味しそうなアイスキャンディー🤤,36,2023-03-27T11:27:27Z
@EasyCookingwithMuneera,Mouthwatering. ❤❤❤,0,2024-10-12T16:27:58Z
@ReddevilReddevil-me3fi,Ye icecream nhi kulfi h😂😂,21,2023-05-07T05:38:49Z
@shivpriya2136,It looks is Very delicious❤❤😊🎉,0,2024-05-08T11:56:40Z
@cartier.19,"I&#39;m Thai. This is called red wood ice cream. If you find a red wood, you will get 1 more bar for free, but currently there is no red wood anymore.",35,2023-07-08T13:50:55Z
@giandithonque1838,Giỏi quá bạn ơi ❤🎉công thức bất ngơ,0,2023-09-25T00:12:25Z
@어설픈잇티제,인도 길거리 아이스크림 보다가 이거보니까 그나마 평온해진다,41,2023-07-12T12:21:02Z
@lovelyme6802,It’s super cute 😂 my love for it ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2023-05-11T03:58:09Z
@rasasat,"Actually, I don&#39;t know where the origin of the country . Manŷ country have ice ream like this. I have seen it since childhood and then continue to do it and we want our children to have the opportunity to experience these things.  yes,this place is chiangmai thailand.",10,2023-03-20T01:34:40Z
@RajinderSingh-re2mp,🎉 nice video madam ji 🎉🙏🏻👍🏻💯👍🏻,0,2024-06-01T10:30:04Z
@arbi5037,Klo di Indonesia namanya es goyang 🥰🥰🥰,4,2023-03-14T22:57:10Z
@LUFFY_FF007,If you add milk and other sweets then it&#39;s called kulfi in India but they add some more rabdi that make it more cold and more chew to eat and it&#39;s so sweet 🎂🍦🍦🍧🍨 and it&#39;s a stick ice cream with milk and rabdi,55,2023-05-13T10:04:44Z
@kc8767,I love the ice pops here.  I get the all the time. 😊.,0,2024-09-28T08:34:20Z
@hyysgurudesa432,Es lilin yang nikmat di musim kemarau. Masa kecil,5,2023-03-26T11:04:22Z
@tuancstc5740,😸😸😸yeah là kem ống phố cổ nè!!!,2,2023-07-11T15:18:33Z
@RadhikaKumari-ck9sc,Are ye kulfi India se bahar kaise gya 😅😂,16,2024-05-01T16:38:18Z
@sawlihachilwan4493,"<a href=""http://www.youtube.com/results?search_query=%23hard"">#hard</a> working lady l❤ve from India God bless you 🎉",0,2024-10-14T10:13:25Z
@이명숙-z3b,아이스케키 이이 얼음과자~~아 ㅋㅋ<br>옛날 우리 어릴적 저렇게 얼려 팔음,11,2023-03-18T06:55:09Z
@lathas1355,Wow super 👌👏,2,2023-05-13T04:05:01Z
