Author,Comment,LikeCount,PublishedAt
@ch3rryc0la79,I love how supportive he is of her,12734,2024-07-23T23:46:01Z
@beccalife275,Time to buy a lottery ticket,130054,2024-05-09T22:18:56Z
@maresae,These two were absolutely made for each other. They are either life partners or siblings ha,3781,2024-06-20T06:14:36Z
@Anna-vc9it,Their faces at the end 😂,75853,2024-05-09T22:08:50Z
@wolfang3325,“How do you add that fast?” Had me dying,17003,2024-05-15T16:05:07Z
@nonna5399,That was unbelievable!! 😮 I love this ‘game’.  ❣️Well done !!🥳🎉,82,2024-08-19T22:21:25Z
@Gavin1423,Love how she flicks the numbers,22247,2024-05-09T22:33:39Z
@ethancollinsworth3927,This is the hardest round of “siblings or dating” i’ve ever played,16089,2024-05-10T06:33:59Z
@BryanRendonG,Right with a cut after every roll this is totally believable,471,2024-08-21T21:25:25Z
@js.4383,the cuts in between make this very believable,6897,2024-05-17T19:22:12Z
@GhostFace-.1996,the amount of attempts and cuts they had to do so she got everything in point,6192,2024-05-13T01:40:17Z
@IqbalQureshi-jl5qk,You are so lucky ❤🎉🎉,5,2024-09-09T16:37:54Z
@addysional,I&#39;d love to see the unedited version lol,3995,2024-05-14T12:59:47Z
@Plexez,Those some real convenient camera cuts,3744,2024-05-10T05:11:00Z
@funbee378,I SCREAMED WITH YOU 🗣️🔊‼️,1,2025-03-16T03:55:45Z
@jasonreynolds5633,The cuts between each roll really sells this,2978,2024-05-14T21:22:43Z
@sleep_something_something,Love the cut between EACH dice roll,195,2024-05-14T00:56:37Z
@heatherwhite-hadley454,I love you two! You have the best times.,0,2025-02-09T16:21:47Z
@mktrill,We need the unedited footage please,1375,2024-05-10T00:20:15Z
@antoniopedinelli,Love how the camera cuts so u can’t tell if it’s fake or not,9995,2024-05-13T00:38:26Z
@jessicaculp3829,Y&#39;all&#39;s joy for each other is so lovely ❤,0,2025-03-06T06:16:30Z
@TheChallenger-ku6wq,The cuts speak everything,3828,2024-05-26T10:32:09Z
@EmoryPatterson,Finally!!!! Yall did it!! Love you guys ❤,2551,2024-05-09T22:11:02Z
@nottoday9713,This is how my husband and I felt the first time one of us shut the box! Like the exact same reaction it is so beautiful to see that it is a universal feeling.,0,2025-03-02T18:01:56Z
@radinkamyab2992,I love how there is cut before every dice throw,228,2024-05-11T21:08:19Z
@camofish8,I love the cuts in the video 😍☺️☺️,61,2024-05-12T04:13:17Z
@darcyc5476,"When my children were 5-7, we used this game to help them learn quick addition.  It was fun and it worked helping them learn quick adding. None of us ever won the game.tho’! Congratulations!",2,2025-02-06T05:31:54Z
@hazelkhan2804,There faces at the beginning:  😐<br>There faces at the end: 😮😜🥳😂😃😄,1902,2024-05-23T05:46:18Z
@joelmoosehead7814,you two are so cute xD,225,2024-05-09T22:20:35Z
@itswavo,The camera cut after each turn making me think otherwise,31,2024-06-03T06:28:11Z
@alainjumrani8920,The editor needs a raise💀,1092,2024-05-26T08:40:50Z
@MaMMaLHoMiCiDe,"If I could jump cut, I&#39;d win the lottery every time.",825,2024-05-13T04:27:43Z
@jakewillis-y1k,"me and my family play this all the time at our cabin, the way to play is you roll a number and can shut 2 or 1 numbers, they just have to add up to the number you roll, they don’t have to be the ones you roll, so if you roll a seven with a three and four, you could put down 1 and 6",2,2025-02-27T16:25:48Z
@Clara_Lopes,the way i screamed lmao 😭,781,2024-05-09T23:14:21Z
@Jeanne-od8zr,When you get down to numbers 6 and below you get to use only one dice because you’re not trying to make the larger numbers. It helps to increase your chances of winning. Great job on that btw☺️,20,2024-07-13T18:40:52Z
@jezaylanic6359,She looked like she wanted to hug him. That&#39;s adorable lol,2,2025-02-23T17:05:22Z
@adamreilly4670,The quick cuts in between clips lead me to think that we didn’t see every roll,17,2024-05-26T16:23:20Z
@ChazTheThird,Really good editing,10,2024-05-13T17:19:20Z
@nicholaskehler9169,I can&#39;t help but point out that they have cuts before most or all of the rolls.<br><br>This would tend to indicate that they did multiple attempts at each roll in order to get good rolls that seemed credible and wouldn&#39;t leave them with awkward numbers left.,16,2024-09-18T08:22:49Z
@natsukxshii,both of them getting excited was sooooo cute!!,73,2024-05-12T03:45:10Z
@hannahwalmer1124,"Great job, man.",176,2024-05-09T22:17:13Z
@nokubongangcobo9224,I was literally celebrating with y’all! 🥺🙌🔥 wowowowow!,2,2025-02-22T18:36:23Z
@JJ-ml7pq,"More than the game itself, I think the way you both get so excited makes this fun to watch. 😁",5,2024-05-13T00:38:20Z
@sharonraboy3358,Upload the unedited version! We want to believe!,69,2024-05-10T09:14:39Z
@Sweetsparkles67,She&#39;s so pretty,0,2025-03-05T01:58:28Z
@gotenks5633,Ive never seen two people act SO hard like they&#39;re having fun o.O jesus,108,2024-05-16T19:28:07Z
@cucuo-wo5sv,“How do you add that fast” Now I get her strategy for flipping cups.,7,2024-06-11T07:57:39Z
@harps-and-murf,The way they were so excited 🥹🩵🩵,0,2025-03-10T00:45:37Z
@theminisimmer,"I play DnD and one of my favourite things about it is that I get to roll the dice, this would be the perfect game for me",13,2024-05-13T00:45:00Z
@AlexS-oj8qf,Ohh this makes me so happy today 😊,11,2024-05-24T10:45:40Z
