Author,Comment,LikeCount,PublishedAt
@rogerbee697,That high dive crushed everybody else’s thingy.,69,2024-10-11T17:41:28Z
@SereneRottweiler-dc7fx,"So much talent on display in this video, WOW!!!!",1,2024-11-19T15:54:55Z
@nothaviniteither,It was the dive for me😮😮😮😊😊😊,2,2024-10-07T16:09:05Z
@mooniemooniep4538,That diive was off the chart.❤,1,2024-10-09T21:00:09Z
@annamariavalatka636,Awesome 👏👏👏👏👏👏💙💙💙,0,2024-10-07T20:41:16Z
@Taehyunnnnie,That&#39;s insane 😮,0,2024-10-22T08:11:16Z
@athenaheard656,"People are sooo talented! Especially loved the Dive, just perfect!",6,2024-10-11T00:03:50Z
@theotrotchie,Just WOW,2,2024-10-06T03:32:09Z
@chrisnock2983,Everything on this video was awesome,10,2024-09-27T18:56:31Z
@beentheredonethat3624,OMG!!! To be young again and full of life and energy!!,6,2024-10-17T01:36:47Z
@cathyyoung3285,I remember my drum and bugle Corp rifle spinning days.  Good times,1,2024-10-20T00:29:10Z
@samanthafoxon746,Dude perfect,0,2024-11-17T13:36:48Z
@齋藤房子-r9e,Amazing Real Superman,0,2024-10-15T19:34:30Z
@janedoe2817,Some people are so talented.,0,2024-11-19T09:37:19Z
@noemiperez4995,😮Espectacular 👍,0,2024-10-11T06:05:17Z
@ohraider,Ughhh the nollie flip,4,2024-10-08T21:13:13Z
@jerryrogers9703,The girl high diving was absolutely perfect no splash or anything,28,2024-10-05T08:01:55Z
@Asik-1ooo,Потрясающе! Особенно в оранжевой футболке. Хотя все молодцы! 👍,19,2024-09-26T04:16:41Z
@edwinmaerzluft1172,Incredible work by the amazing people that did and do these stunts ❤,0,2024-10-19T15:04:05Z
@65watts74,Smooth!!,1,2024-10-02T01:15:20Z
@deanalape4783,For the color guard (rifle)….great job!! When i was im we did a 360 spin it was awesome!! That was fun to watch and now i miss the old days 😢,1,2024-10-23T21:31:15Z
@michaelpulice6100,"Wow, to all the daredevils, great job ❤❤❤❤",0,2024-10-14T23:36:14Z
@darthphaser2991,Ricky Glaser. 🔥,0,2024-10-15T15:15:07Z
@ShaneWirangi-i3k,Amazing skills,0,2024-10-08T01:32:38Z
@GW8915,Good stuff😮,0,2024-10-09T05:39:16Z
@luxray8968,The guy with the snowball is the reason I don&#39;t do snowball fights. 😭,0,2024-10-21T21:12:25Z
@gregpierquet5818,"Wow, that dude hit a huge wall with a snowball.   Never seen that before.",23,2024-10-06T11:55:51Z
@wilclaw665,😂 Way too smooth ❤😂,0,2024-10-09T03:37:12Z
@ИринаПанцир-и8у,Подборка супер💥👍🔥✌👏🙏,0,2024-10-22T13:42:39Z
@edfrawley4356,"What is left unsaid is the hundreds and thousands of hours of practice , failure, and doing it over until the skills where perfected. That is the amazing part of human achievements.",27,2024-10-08T16:08:53Z
@Pillowlishios,The girl doing rife was amazing!!!!,1,2024-10-16T02:04:04Z
@johnnycarey1254,Pool diver was exceptional barely a ripple on the water from the entry 😳 and from that hight 😮,0,2024-10-12T20:56:42Z
@tobaldagriot496,Ooooooooow! That dunk was spectacular!!,1,2024-10-09T12:19:59Z
@41663,Humans can be amazing. Keep pushing to be as good as you know you can be,14,2024-10-04T22:45:57Z
@rayneluvzemozzzzzzzzzzzzzz,that sit roll was perfect,1,2024-10-07T05:57:45Z
@rodneyyoung8096,Some people really make the best of their free time .,1,2024-10-08T19:05:25Z
@stephenullman4534,So much talent out there. Very impressive!,5,2024-10-02T21:26:38Z
@PeggyBrown-ui1wg,Quintuplet RIFFLE throw,1,2024-10-04T18:08:03Z
@robertcleland9255,😎 cool😮😮😮,0,2024-10-22T17:02:17Z
@adamwildfong,Those are sick,0,2024-10-18T22:40:08Z
@Пабг-д7т,Я бы не хотел с пацаном в снежки играть 😂,1,2024-11-10T11:39:50Z
@GrantLewis-j7e,The best in are world !,0,2024-10-09T08:10:28Z
@maxav1-exe,I loved the guy moonwalking on ice skates when it raining,0,2024-10-16T16:24:49Z
@tysonk-t2130,Humans are incredible creatures!,0,2024-10-10T17:45:16Z
@andreouellette4764,Amazing but the girl diver is incredible ❤😮,0,2024-10-21T00:16:26Z
@えんじ-n9r,どんなことでも極めるとこんなにもかっこいいのか,0,2024-11-16T19:48:32Z
@JamesSmith-pc6bh,That dive was incredible!,0,2024-10-19T18:07:46Z
@carlspackler8988,Dude... Just to find all these videos is is epic,0,2024-10-17T06:30:06Z
@kat.b.3556,See what a human can excell at when they&#39;re not working a forty hour week. Kidding. Awesome dedication to practice is why they can be GOAT.,0,2024-10-15T20:12:34Z
@andersoncockerm7543,All of them were good!,0,2024-10-08T14:07:35Z
